"https://www.youtube.com/watch?v=qRFEJ1ch1qU", LessonFirst
"https://www.youtube.com/watch?v=gwSNt0fo5lc", HTML для начинающих: блочный тег div и строчный тег span, Урок 14!
"https://www.youtube.com/watch?v=YFReGZAcUHc", HTML для начинающих: формы(textarea, select), Урок 13!
"https://www.youtube.com/watch?v=pKmZkpJLH5c", HTML для начинающих: формы(input), Урок 12!
"https://www.youtube.com/watch?v=3hgEaQZArrk", CSS для начинающих: Блочные и строчные элементы, урок 3!
"https://www.youtube.com/watch?v=5qaF98Ho4Tk", CSS для начинающих: Атрибуты тегов (id, class), урок 2!
"https://www.youtube.com/watch?v=le-ERDIlZa4", CSS для начинающих: Введение, урок 1!
"https://www.youtube.com/watch?v=ix9FoNUW0-w", Java для начинающих: Сравнение ссылок на объекты, Урок 24!
"https://www.youtube.com/watch?v=Q-OBcMzU2uk", Java для начинающих: Понятие класса и объекта, Урок 23!
"https://www.youtube.com/watch?v=eixQLoDlmJQ", Java для начинающих: Поразрядный сдвиг вправо и влево, Урок 22!
"https://www.youtube.com/watch?v=Pg96t-T1G-E", Java hibernate: Валидация, урок 15!
"https://www.youtube.com/watch?v=oJi4ljPJ6IA", Java hibernate: Criteria запросы, урок 14!
"https://www.youtube.com/watch?v=IJMgD1MNdNM", Java hibernate: HQL запросы, урок 13!
"https://www.youtube.com/watch?v=p1B4pz0G19o", Java hibernate: SQL запросы, урок 12!
"https://www.youtube.com/watch?v=j2Eky9D9RkA", Java hibernate: Транзакции, урок 11!
"https://www.youtube.com/watch?v=3WjcQiemvWM", Java hibernate: JPA Пример использования мапинга, урок 10!
"https://www.youtube.com/watch?v=h3PHEUuOmZA", Java hibernate: JPA связь многие ко многим, урок 9!
"https://www.youtube.com/watch?v=JJBrkkKuC2M", Java hibernate: JPA связь один к одному, урок 8!
"https://www.youtube.com/watch?v=wfnbF7aELUk", Java hibernate: JPA связь многие к одному, урок 7!
"https://www.youtube.com/watch?v=-Ld6xgd2K4k", Java hibernate: Введение в JPA, урок 6!
"https://www.youtube.com/watch?v=rUER9XgNuy4", Java hibernate: XML мапинг, связь многие ко многим, урок 5!
"https://www.youtube.com/watch?v=FsBGZW6qJXM", Java hibernate: XML мапинг, связь один к одному, урок 4!
"https://www.youtube.com/watch?v=hhO6JgfHitU", Java hibernate: XML мапинг, связь многие к одному, урок 3!
"https://www.youtube.com/watch?v=sC0I2hLyOMk", Java для начинающих: Поразрядные логические операции (И, ИЛИ, НЕ), Урок 21!
"https://www.youtube.com/watch?v=Hpsm61DfLLQ", Java для начинающих: Оператор безусловного перехода continue, Урок 20!
"https://www.youtube.com/watch?v=HZlIlK3OQao", Java для начинающих: Оператор ветвления switch, Урок 19!
"https://www.youtube.com/watch?v=jGZwyF1URxI", Java для начинающих: Оператор безусловного перехода break, Урок 18!
"https://www.youtube.com/watch?v=9KG5MB9S6r8", Java для начинающих: Оператор цикла for each, Урок 17!
"https://www.youtube.com/watch?v=BAhDSFLVP9k", Java для начинающих: Массивы причудливой формы, Урок 16!
"https://www.youtube.com/watch?v=c3gGtNdAl6I", Java для начинающих: Трехмерные и многомерные массивы, Урок 15!
"https://www.youtube.com/watch?v=cnw5PHdsDtQ", Java hibernate: xml маппинг, урок 2!
"https://www.youtube.com/watch?v=m14Mag7r0zk", php web: Сокеты, урок 9!
"https://www.youtube.com/watch?v=A9M91ZZ_Vfw", php web: curl запросы, урок 8!
"https://www.youtube.com/watch?v=CTqbYEEean4", Java для начинающих: Двумерные массивы, Урок 14!
"https://www.youtube.com/watch?v=R5dgkwcqddY", Java для начинающих: Одномерные массивы, Урок 13!
"https://www.youtube.com/watch?v=uYiz_-XeSow", Java для начинающих: Оператор цикла do...while, Урок 12!
"https://www.youtube.com/watch?v=1IHMGd7k7aI", Java для начинающих: Оператор цикла while, Урок 11!
"https://www.youtube.com/watch?v=1qYOxJ-OEWs", Java hibernate: Настройка конфигов, урок 1!
"https://www.youtube.com/watch?v=Yt7Vl0yhxz4", Java для начинающих: Оператор цикла for , Урок 10!
"https://www.youtube.com/watch?v=F1h8cxqOwIg", java code conventions: Константы и методы, урок 10!
"https://www.youtube.com/watch?v=4sZ-k8iZTQo", java code conventions: Декларация наименования, урок 9!
"https://www.youtube.com/watch?v=htK0vzwVBpM", java code conventions: Пустые строки и пробелы, урок 8!
"https://www.youtube.com/watch?v=Ai3U5WRrYkQ", Java для начинающих: Арифметические операции с присваиванием , Урок 9!
"https://www.youtube.com/watch?v=d6yhqn3B-fw", Java для начинающих: Оператор if блок else, Урок 8!
"https://www.youtube.com/watch?v=WB1XTooRODk", Java для начинающих: Оператор условия if, Урок 7!
"https://www.youtube.com/watch?v=7pf9QbgEnfU", Java для начинающих: Операторы сравнения, Урок 6!
"https://www.youtube.com/watch?v=y82bX_8FQ6s", Java для начинающих: Оператор инкремента и декремента, Урок 5!
"https://www.youtube.com/watch?v=ShnOmLu3mjs", Java для начинающих: Преобразование типов, оболочечные типы, Урок 4!
"https://www.youtube.com/watch?v=XfKleO5cEtM", Java для начинающих: Типы данных, Урок 3!
"https://www.youtube.com/watch?v=7aY2ZzyRjTw", Java для начинающих: байт код, jar файл, Урок 2!
"https://www.youtube.com/watch?v=iaYGoh8w7g0", java code review: урок 20!
"https://www.youtube.com/watch?v=44jR7sNb8R8", java code review: урок 19!
"https://www.youtube.com/watch?v=eJRMWqcCycM", java code review: урок 18!
"https://www.youtube.com/watch?v=aOdAvtLpdpM", java code review: урок 17!
"https://www.youtube.com/watch?v=LpmaYbFRv9Q", java code review: урок 16!
"https://www.youtube.com/watch?v=rDbBk_jNs_U", Java для начинающих: Введение в язык java, Урок 1!
"https://www.youtube.com/watch?v=H8oXg82Zruo", java code review: урок 15!
"https://www.youtube.com/watch?v=U4v26Bve3fg", java code review: урок 14!
"https://www.youtube.com/watch?v=LMkx0FRxlRM", java code review: урок 13!
"https://www.youtube.com/watch?v=JGLzqmZe-qQ", java code review: урок 12!
"https://www.youtube.com/watch?v=R-OoFu2WAwk", java code conventions: Выражения и операторы, урок 7!
"https://www.youtube.com/watch?v=lOUCv8BIyog", java code conventions: Декларации классов и интерфейсов, урок 6!
"https://www.youtube.com/watch?v=-RF0OgNSeFQ", java code review: урок 11!
"https://www.youtube.com/watch?v=p0xqC1dL-ds", java code conventions: Отступы и строки, урок 5!
"https://www.youtube.com/watch?v=Fi6cbHrVF-s", java code conventions: Аннотированные комментарии, урок 4!
"https://www.youtube.com/watch?v=oV6uqLJ9Brs", java code conventions: Doc комментарии, урок 3!
"https://www.youtube.com/watch?v=cpFcDJcIGNg", java code conventions: Комментарии, урок 2!
"https://www.youtube.com/watch?v=RCU8SYQWUTQ", java code conventions: Введение, урок 1!
"https://www.youtube.com/watch?v=EX43jgdMaMY", java code review: урок 10!
"https://www.youtube.com/watch?v=nRiYzAhVhtY", java code review: урок 9!
"https://www.youtube.com/watch?v=q2M_3UuCpXE", java code review: урок 8!
"https://www.youtube.com/watch?v=1udeef-yC6U", java code review: урок 7!
"https://www.youtube.com/watch?v=1zKDc8X2UxI", java code review: урок 6!
"https://www.youtube.com/watch?v=typDRyn6DGw", java code review: урок 5!
"https://www.youtube.com/watch?v=0CL7n-SivCM", java code review: урок 4!
"https://www.youtube.com/watch?v=2rsMC7GTDPQ", java code review: урок 3!
"https://www.youtube.com/watch?v=BsjoAfsMQe4", java code review: урок 2!
"https://www.youtube.com/watch?v=1ZhmK7BiWbk", java code review: урок 1!
"https://www.youtube.com/watch?v=JJB0_thLN3M", php ооп: Использование stdClass, урок 15!
"https://www.youtube.com/watch?v=En2cTNoGFZo", php ооп: Поименованные области, урок 14!
"https://www.youtube.com/watch?v=YxFDNdiQOdk", php ооп: Исключительные ситуации, урок 13!
"https://www.youtube.com/watch?v=8yphuuOGSOs", php ооп: Магические методы, урок 12!
"https://www.youtube.com/watch?v=MKLq2Y3jy6Y", php ооп: Полиморфизм, урок 11!
"https://www.youtube.com/watch?v=Pq_ifCzKAs0", php ооп: Инкапсуляция, урок 10!
"https://www.youtube.com/watch?v=md71i_K1hps", php ооп: Статические поля и методы класса, урок 9!
"https://www.youtube.com/watch?v=PPRebN7Z4f4", php ооп: Абстрактные классы, урок 8!
"https://www.youtube.com/watch?v=ic-HRPR-JP0", php ооп: Понятие интерфейса и реализации, урок 7!
"https://www.youtube.com/watch?v=Jyy8D_aO31o", php ооп: Модификаторы доступа (private, public, protected), урок 6!
"https://www.youtube.com/watch?v=XXoiJneASfY", php ооп: Жизненый цикл объектов, урок 5!
"https://www.youtube.com/watch?v=X6FFV0FAsM0", php ооп: Наследование классов, урок 4!
"https://www.youtube.com/watch?v=ri4-FqmfH7g", php ооп: Конструктор и деструктор, урок 3!
"https://www.youtube.com/watch?v=lmq9jiA8CwA", php ооп: Методы класса, работа с классом, урок 2!
"https://www.youtube.com/watch?v=6JyAey550V0", php ооп: Понятие класса, урок 1!
"https://www.youtube.com/watch?v=l9hQa5Z8XUA", C (Си): язык программирования Си, перечисления (enum) и typedef, урок 46!
"https://www.youtube.com/watch?v=nAHZ6O9jyPk", C (Си): язык программирования Си, Битовые поля, урок 45!
"https://www.youtube.com/watch?v=4S7DZIOyDDA", C (Си): язык программирования Си, объеденения (union), урок 44!
"https://www.youtube.com/watch?v=guinn2k1PGE", C (Си): язык программирования Си, структуры типа struct, урок 43!
"https://www.youtube.com/watch?v=201j9LIcsF4", объектно-ориентированное программирование: подведение итогов, урок 15!
"https://www.youtube.com/watch?v=UAodYUBUHdY", объектно-ориентированное программирование: агрегация, урок 14!
"https://www.youtube.com/watch?v=F6r2Bor9ykQ", объектно-ориентированное программирование: прототипы, урок 13!
"https://www.youtube.com/watch?v=LQuXksqlC4E", объектно-ориентированное программирование: полиморфизм, урок 12!
"https://www.youtube.com/watch?v=2jm3RexXzmw", объектно-ориентированное программирование: ранее и позднее связывание, урок 11!
"https://www.youtube.com/watch?v=LMsZoclBzhc", объектно-ориентированное программирование: абстракция, урок 10!
"https://www.youtube.com/watch?v=zKLoz_7TjXA", объектно-ориентированное программирование: множественное наследование, урок 9!
"https://www.youtube.com/watch?v=S05KOFu8T0U", объектно-ориентированное программирование: создание и уничтожение объектов при наследовании, урок 8!
